"AAll" "entry1" "sub1" "altsearch" "altsub1"
"1" "algorithmic methods (\textit{see also} machine learning)" "algorithmic" "methods" "random" "forests"
"2" "analysis issues! analysis of summary data" "data summary" NA NA NA
"3" "analysis issues! analysis styles \& traditions" "EDA" "formal" NA NA
"4" "analysis issues! assumptions" "assumption" NA "assumptions" NA
"5" "analysis issues! changes of plan" "intended plan" NA NA NA
"6" "analysis issues! deficiencies" "inadequacies" NA NA NA
"7" "analysis issues! independence" "independence assumption" NA NA NA
"8" "analysis issues! planning" "planning the formal" NA NA NA
"9" "analysis issues! presentation issues" "report results" NA NA NA
"10" "analysis issues! prior information" "prior information" NA NA NA
"11" "analysis issues! random sampling assumptions" "random sampling assumptions" NA NA NA
"12" "analysis issues! source/target differences" "data analysis" "strategies" "source" "target"
"13" "analysis issues! strategies" "data analysis" "strategies" NA NA
"14" "animal body \& brain weight" "body weight" "brain" NA NA
"15" "aspirin" "aspirin" NA NA NA
"16" "behavioural economics" "behavioural" "economics" NA NA
"17" "bias! convenience samples" "convenience" "samples" NA NA
"18" "bias! hindsight" "hindsight" "bias" NA NA
"19" "bias! selection and survivor" "bias" "selection" "bias" "survivor"
"20" "business success" "business" "selection" NA NA
"21" "chloroquine or hydrochloroquine! use with Covid-19" "chloroquine" "Covid-19" NA NA
"22" "cholera deaths in London! 1849" "cholera" "1849" NA NA
"23" "cholera deaths in London! 1854" "cholera" "natural" "cholera" "brewery"
"24" "climate science" "climate" "science" NA NA
"25" "climate science! Richard Muller's study" "Richard" "Muller" NA NA
"26" "Covid-19! detection from chest images" "chest" "images" NA NA
"27" "Covid-19! unvaccinated vs vaccinated" "vaccinated" "unvaccinated" NA NA
"28" "cricket bowling averages" "Runs" "wickets" NA NA
"29" "designed experiment" "design" "experiment" NA NA
"30" "economic growth" "RR" "GDP" NA NA
"31" "email spam" "email" "spam" NA NA
"32" "false positives" "false" "positives" NA NA
"33" "false positives" "false" "positives" NA NA
"34" "genetic studies! epigenetic effects" "epistasis" NA NA NA
"35" "graph! choice of aspect ratio" "aspect" "ratio" NA NA
"36" "graph! deaths vs hurricane damage" "deaths" "deaths" NA NA
"37" "graph! debt vs debt to GDP ratio" "growth" "debt" "GDP" "debt"
"38" "graph! decathlon performances in 2006" "decathlon" "correlations" NA NA
"39" "graph! email spam, distribution of values" "distributions" "spam" NA NA
"40" "graph! father vs son heights" "tall" "fathers" NA NA
